2020-01-13 11:14:40.569 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.621 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.716 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.746 DEBUG [   scheduling-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.757 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.870 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.955 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:40.983 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:41.046 DEBUG [   scheduling-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:41.085 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:41.121 DEBUG [tTaskExecutor-3] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:41.196 DEBUG [tTaskExecutor-2] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
2020-01-13 11:14:41.205 DEBUG [tTaskExecutor-1] [o.h.SQL] logStatement (127): insert into TB_ARTICLE (articleId, content, image, posting_dtime, price, reg_dtime, site, state, subject, upd_dtime, url) values (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
